project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list
94114,534,5.86,2.0,94.0,1.199,1.11904046,1.08906786,6.0,"Shelly, Shelly & Sands, Ronyak Paving, Karvo Companies, Barbicas Construction, Chagrin Valley Paving"
100922,235 / 29,5.9,2.0,88.0,0.636,0.7307800999999999,0.79868421,3.0,"A & B Asphalt, Barrett Paving Materials, Shelly"
93678,330 / 568,,2.0,104.0,2.079,1.92482905,1.93946931,3.0,"M & B Asphalt, Shelly, Kokosing Construction"
96642,180 / 374,,2.0,105.0,1.946,1.8929999,1.96659268,2.0,"Shelly & Sands, Shelly"
102954,598 / 39 / 13 / 103,,2.0,345.0,3.361,3.22366259,3.22592073,3.0,"Kokosing Construction, Shelly & Sands, Erie Blacktop"
105326,55,5.27,2.0,88.0,0.663,0.75498775,0.78131273,1.0,A & B Asphalt
102562,78,16.06,2.0,105.0,2.159,2.258868,2.35257376,2.0,"Shelly & Sands, Nls Paving"
88700,705,8.07,2.0,88.0,1.359,1.5225,1.51743782,1.0,Barrett Paving Materials
98392,173 / 41 / 44 / 62 / 153,10.54,2.0,377.0,3.258,2.95937706,2.71783966,4.0,"Shelly, Allied Enterprises, Ronyak Paving, Chagrin Valley Paving"
101181,32 / 339,5.79,2.0,103.0,1.042,1.11198199,1.06721718,1.0,Shelly & Sands
105327,274,3.54,2.0,74.0,0.58,0.6657746999999999,0.71167183,1.0,Shelly
106242,71,17.62,4.0,393.0,17.632,16.07098501,15.99476412,2.0,"Barrett Paving Materials, John R Jurgensen"
99982,54,0.56,2.0,90.0,0.244,0.2310335499999999,0.24896266,2.0,"A & B Asphalt, Shelly"
100254,14580 / 14711,1.88,4.0,332.0,1.472,1.41030201,1.40602454,4.0,"Anthony Allega Cement Contractor, Perk, Shelly, Karvo Companies"
96794,62,10.64,2.0,424.0,2.61,2.59599301,2.62626098,4.0,"Melway Paving, Superior Paving & Materials, Shelly, Karvo Companies"
100491,93,5.65,2.0,78.0,0.543,0.5537627900000001,0.65958799,2.0,"Nuko Paving, Shelly & Sands"
97315,167,12.37,2.0,302.0,1.43,1.33069624,1.22955267,2.0,"Shelly & Sands, Shelly"
102475,149 / 331,,2.0,442.0,3.124,2.59520919,2.6212832400000003,2.0,"Shelly & Sands, Nls Paving"
96647,530 / 83,13.99,2.0,319.0,2.773,3.2299988,3.29647329,2.0,"Shelly & Sands, Nls Paving"
87698,20 / 511,27.46,2.0,350.0,6.737,6.96889189,7.04851838,4.0,"Erie Blacktop, Karvo Companies, Kokosing Construction, Anthony Allega Cement Contractor"
92373,191,5.54,2.0,392.0,2.893,3.13358894,3.31508107,1.0,Gerken Paving
98466,6,3.64,2.0,337.0,0.591,0.6768407,0.63336321,2.0,"Erie Blacktop, Gerken Paving"
98250,539 / 42 / 224,18.97,2.0,366.0,3.64,3.36168835,3.2741413500000003,5.0,"Ronyak Paving, Karvo Companies, Kokosing Construction, Melway Paving, Chagrin Valley Paving"
93003,13,,2.0,411.0,2.947,3.42815855,3.4303088,1.0,Shelly
100869,52,8.65,2.0,304.0,0.776,0.8695733,0.97380222,1.0,Shelly
102821,127,9.83,2.0,305.0,1.966,2.00787645,2.30571119,1.0,Gerken Paving
94201,42 / 744 / 732 / 68 / 741 / 725 / 133 / 132,47.25,2.0,376.0,6.494,6.69538781,6.551251,2.0,"Barrett Paving Materials, John R Jurgensen"
102159,93,1.18,2.0,94.0,0.47,0.4722886,0.4763917299999999,1.0,Shelly
95455,40,,2.0,390.0,2.174,2.54486184,2.67982626,2.0,"Shelly, Kokosing Construction"
100488,35,7.21,4.0,317.0,3.066,3.06846076,3.29368605,2.0,"Shelly, Shelly & Sands"
95563,50,2.71,2.0,252.0,1.058,1.30530937,0.94672106,2.0,"John R Jurgensen, Shelly"
91998,781 / 247,9.94,2.0,331.0,1.39,1.40069415,1.38063395,3.0,"Brown County Asphalt, Brown County Construction, Shelly"
100607,518,6.37,2.0,376.0,0.958,0.9234046,0.90295589,7.0,"Superior Paving & Materials, Shelly, Barbicas Construction, R T Vernal Paving & Excavating, Shelly & Sands, Nls Paving, Allied Enterprises"
98394,18,,2.0,300.0,3.738,3.3674525600000003,3.20655727,4.0,"Karvo Companies, Kokosing Construction, Erie Blacktop, Chagrin Valley Paving"
91458,60,12.47,4.0,384.0,2.269,2.8804442000000003,2.82133616,2.0,"Shelly & Sands, Nls Paving"
105552,104 / 22,,2.0,361.0,2.441,2.57908806,2.45957821,1.0,Shelly
93774,50,6.25,2.0,284.0,1.443,1.3394522,1.35544567,2.0,"Shelly & Sands, Nuko Paving"
93037,188 / 22 / 159,19.4,2.0,301.0,3.457,3.79640639,3.69277042,2.0,"Shelly, Kokosing Construction"
105193,93,17.75,2.0,362.0,2.996,2.82669305,2.65991873,4.0,"Superior Paving & Materials, Shelly, Karvo Companies, Melway Paving"
95465,37 / 16 / 161,16.98,4.0,362.0,6.047,7.24417245,7.05621339,2.0,"Shelly, Kokosing Construction"
105532,4,7.49,2.0,347.0,2.098,2.04415412,1.99458036,2.0,"Shelly & Sands, Kokosing Construction"
102824,281,4.39,2.0,255.0,0.799,0.7678509499999999,0.7070364499999999,3.0,"Gerken Paving, Shelly, Kokosing Construction"
96328,52 / 136,7.02,2.0,272.0,0.971,0.87316211,0.94575212,3.0,"Brown County Asphalt, Brown County Construction, Shelly"
102486,30,,2.0,364.0,0.367,0.29484815,0.29960603,6.0,"Shelly & Sands, Barbicas Construction, Allied Enterprises, R T Vernal Paving & Excavating, Shelly, Nls Paving"
101608,206 / 541,19.21,2.0,348.0,3.76,3.66906686,3.94896504,2.0,"Shelly, Nls Paving"
105190,39 / 62,,2.0,348.0,1.481,1.43999518,1.45435709,4.0,"Shelly & Sands, Melway Paving, Kokosing Construction, Karvo Companies"
98467,114 / 224,12.25,2.0,272.0,2.172,2.19947575,2.19243218,2.0,"Shelly, Bluffton Paving"
100959,80,3.85,4.0,242.0,1.794,1.52224808,1.40363287,3.0,"Shelly & Sands, Shelly, Chagrin Valley Paving"
100567,77 / 751,,4.0,364.0,3.162,3.46111022,3.58406438,4.0,"Shelly, Shelly & Sands, Karvo Companies, Nls Paving"
101400,83,8.09,2.0,333.0,3.977,3.55169685,3.5580999500000003,5.0,"Kokosing Construction, Melway Paving, Karvo Companies, Shelly, Chagrin Valley Paving"
94206,75,,4.0,320.0,5.134,5.68848421,5.73319842,2.0,"Shelly, Gerken Paving"
100815,84 / 20,9.58,4.0,273.0,1.937,1.8573,1.87505996,3.0,"Ronyak Paving, Koski Construction, Chagrin Valley Paving"
105179,149,5.45,2.0,319.0,0.559,0.50502565,0.5077795900000001,3.0,"Shelly & Sands, Nls Paving, Barbicas Construction"
84634,41 / 124,8.85,2.0,258.0,1.466,1.5446653,1.6122682,2.0,"Shelly, John R Jurgensen"
105474,20 / 107,7.17,2.0,319.0,1.29,1.33171407,1.35636598,1.0,Gerken Paving
105130,204,,2.0,334.0,2.093,2.34607465,2.3344559,1.0,Shelly
96318,301 / 58,,2.0,296.0,6.2,4.91999115,5.20465859,4.0,"Shelly & Sands, Kokosing Construction, Melway Paving, Karvo Companies"
96786,46,5.45,2.0,298.0,1.134,1.03961775,1.00429641,5.0,"Shelly, Shelly & Sands, R T Vernal Paving & Excavating, Barbicas Construction, Chagrin Valley Paving"
105543,257 / 605,12.11,2.0,268.0,2.26,2.26499215,2.15375456,2.0,"Shelly & Sands, Shelly"
102405,520,13.47,2.0,298.0,0.978,0.93285304,0.95950104,2.0,"Melway Paving, Shelly & Sands"
92012,52 / 7 / 527,7.32,4.0,268.0,4.208,4.52995022,4.37895826,1.0,Shelly
91092,91092 / 224 / 76,8.02,4.0,316.0,3.989,3.5699932000000003,3.37739893,5.0,"Shelly & Sands, Shelly, Karvo Companies, Kokosing Construction, Chagrin Valley Paving"
102980,75,1.89,4.0,252.0,1.126,1.3983926,1.36209089,2.0,"Barrett Paving Materials, John R Jurgensen"
100817,45,3.73,2.0,206.0,0.393,0.43062185,0.4373022,4.0,"Shelly & Sands, Microsurfacing Contractors, American Pavements, Strawser Construction"
93136,33,2.03,4.0,284.0,0.844,0.8996630999999999,0.8485959200000001,3.0,"Shelly & Sands, Kokosing Construction, Shelly"
88969,335 / 104,11.45,2.0,253.0,2.079,2.27539668,2.15821567,2.0,"Shelly, Shelly & Sands"
94077,20,1.76,4.0,284.0,0.903,0.884555,0.7715744499999999,4.0,"Koski Construction, Karvo Companies, Ronyak Paving, Burton Scot Contractors"
84549,56,11.44,2.0,222.0,2.155,2.295899,2.2053723,1.0,Shelly & Sands
105133,129 / 4,,4.0,285.0,5.837,5.88874977,6.11439266,2.0,"John R Jurgensen, Barrett Paving Materials"
93022,77,2.5,4.0,299.0,3.213,3.04242493,3.06873603,2.0,"Shelly & Sands, Nls Paving"
91844,250 / 9,11.23,2.0,284.0,2.249,2.284,2.21244658,3.0,"Nls Paving, Shelly & Sands, Barbicas Construction"
84622,138 / 753,11.69,2.0,223.0,1.508,1.49443647,1.6587648700000002,2.0,"Shelly, John R Jurgensen"
105547,42,,2.0,284.0,3.727,3.61166844,3.5350013,4.0,"Shelly & Sands, Kokosing Construction, Shelly, John R Jurgensen"
87300,251 / 68 / 350,13.06,2.0,589.0,4.893,5.44151953,5.3315659900000005,1.0,John R Jurgensen
91962,800,24.61,2.0,345.0,5.605,5.16581505,5.1173165,2.0,"Shelly & Sands, Nls Paving"
