state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num,bidders_count
Ohio,Summit,39153,2018,2018-04-26 00:00:00,94126,532 / 224,NA,2.0,157.0,1.145,1.09140919,1.09383537,7.0,"Shelly & Sands, Karvo Companies, Barbicas Construction, Chagrin Valley Paving, Northstar Asphalt, Shelly, Allied Enterprises","['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']",0.2222979265915889,180272,7
Ohio,Cuyahoga,39035,2018,2018-05-10 00:00:00,105933,14702,1.11,4.0,143.0,1.687,1.53176875,1.73590304,7.0,"Karvo Companies, Shelly, Perk, Barbicas Construction, Chagrin Valley Paving, Ronyak Paving, Burton Scot Contractors",['14702'],13.326704177768352,180282,7
Ohio,Franklin,39049,2018,2018-05-10 00:00:00,76420,670 / 315 / 25568,NA,4.0,143.0,2.326,2.89154562,3.0786158,3.0,"Shelly & Sands, Shelly, Kokosing Construction","['315', '670', '315', '315', '670', '315', '315', '25568', '315', '315']",6.469556582683265,180285,3
Ohio,Jackson,39079,2018,2018-05-10 00:00:00,92011,35,7.94,4.0,204.0,2.923,2.42664165,2.769564,3.0,"Shelly & Sands, Shelly, Nuko Paving","['35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35']",14.13156120517423,180289,3
Ohio,Lorain,39093,2018,2018-05-10 00:00:00,92888,10 / 47076 / 83,NA,4.0,113.0,0.585,0.4941751,0.45972212,6.0,"Chagrin Valley Paving, Karvo Companies, Barbicas Construction, Shelly, Ronyak Paving, Roads Asphalt Recycling","['83', '10', '10', '10', '47076']",-6.971816265125453,180291,6
Ohio,Marion,39101,2018,2018-05-10 00:00:00,91516,95,2.44,4.0,174.0,1.284,1.16629501,1.46880831,2.0,"Kokosing Construction, Shelly & Sands","['95', '95', '95']",25.937974303774137,180292,2
Ohio,Ross,39141,2018,2018-05-10 00:00:00,100487,159 / 35,NA,4.0,82.0,0.906,1.02743115,1.15946315,3.0,"Nuko Paving, Shelly, Shelly & Sands","['159', '35', '35', '159']",12.850690773780796,180294,3
Ohio,Scioto,39145,2018,2018-05-10 00:00:00,97680,23,0.91,4.0,174.0,1.813,1.89488854,1.97804211,2.0,"Shelly, Axis Civil Construction",['23'],4.388309298656696,180295,2
Ohio,Tuscarawas,39157,2018,2018-05-10 00:00:00,100630,36,13.64,2.0,189.0,2.26,2.2242144,2.29698427,2.0,"Shelly & Sands, Nls Paving","['36', '36', '36', '36']",3.2717111264094023,180298,2
Ohio,Williams,39171,2018,2018-05-11 00:00:00,102827,191 / 6,11.77,2.0,174.0,5.52,6.42567581,6.74256119,1.0,Gerken Paving,"['6', '191', '6', '6', '6']",4.931549448959836,180302,1
Ohio,Madison,39097,2018,2018-05-24 00:00:00,25596,71,10.28,4.0,402.0,15.284,14.69499032,15.95796852,4.0,"Shelly & Sands, Shelly, Kokosing Construction, John R Jurgensen","['71', '71', '71', '71', '71', '71', '71', '71', '71', '71']",8.594617434222299,180246,4
Ohio,Allen,39003,2018,2018-05-24 00:00:00,95503,128,NA,2.0,159.0,0.622,0.7944315,0.8184171,2.0,"Shelly, Bluffton Paving",['128'],3.0192156277791167,180312,2
Ohio,Guernsey,39059,2018,2018-05-24 00:00:00,83107,285 / 313 / 40,NA,2.0,479.0,4.939,4.9580535,5.08295287,2.0,"Shelly & Sands, Nls Paving","['285', '313', '313', '40', '285', '313', '313', '285', '313']",2.519121062328182,180318,2
Ohio,Hamilton,39061,2018,2018-05-24 00:00:00,84481,275 / 127,NA,4.0,161.0,3.042,3.28425533,3.12960365,2.0,"John R Jurgensen, Barrett Paving Materials","['275', '127', '127', '127']",-4.708881145364547,180319,2
