state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct
Ohio,Miami,39109,2018,2018-05-24 00:00:00,100942,571 / 48,,2.0,99.0,,0.79147,0.8110010200000001,,,"['571', '48']",2.467689236484019
Ohio,Paulding,39125,2018,2018-05-24 00:00:00,105522,111,,2.0,99.0,,0.9578591999999999,1.04751014,,,['111'],9.359511293517887
Ohio,Seneca,39147,2018,2018-05-24 00:00:00,92128,635,,2.0,160.0,,1.60491497,1.9101893600000002,,,"['635', '635']",19.021218924763353
Ohio,Wayne,39169,2018,2018-05-24 00:00:00,102936,3,,2.0,120.0,,1.0140021,1.00630198,,,['3'],-0.7593790979328324
Ohio,Wayne,39169,2018,2018-05-24 00:00:00,101261,57,,4.0,176.0,,1.9057456000000002,1.90857261,,,"['57', '57', '57', '57']",0.14834141555934077
Ohio,Washington,39167,2018,2018-05-24 00:00:00,107725,60,,2.0,99.0,,3.5080558500000003,3.4992960099999997,,,"['60', '60']",-0.24970640076897943
Ohio,Ashland,39005,2018,2018-06-12 00:00:00,94392,224,,2.0,141.0,,1.5688661000000002,1.53125862,,,"['224', '224', '224']",-2.397112156352931
Ohio,Perry,39127,2018,2018-06-12 00:00:00,93137,216 / 155 / 595 / 93,,2.0,125.0,,2.20924635,2.5137765699999997,,,"['595', '155', '216', '93']",13.784348676189948
Ohio,Richland,39139,2018,2018-06-12 00:00:00,94401,39 / 309,,4.0,141.0,,3.30699506,3.4746289900000003,,,"['39', '39', '309']",5.069071073846722
Ohio,Franklin,39049,2018,2018-06-28 00:00:00,79668,70 / 25421,,4.0,429.0,,5.3921389,5.49706661,,,"['25421', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70']",1.9459385588156883
Ohio,Butler,39017,2018,2018-06-28 00:00:00,91864,747,,4.0,398.0,,2.5480102000000002,2.4692982900000002,,,['747'],-3.089152076392786
Ohio,Tuscarawas,39157,2018,2018-06-28 00:00:00,102482,542 / 183,,2.0,94.0,,0.49437085999999997,0.48150464000000004,,,"['183', '183', '542', '183', '183']",-2.602544170989352
Ohio,Franklin,39049,2018,2018-06-28 00:00:00,105137,270,,4.0,382.0,,5.24048225,5.13458771,,,"['270', '270']",-2.0207021977796114
Ohio,Henry,39069,2018,2018-06-28 00:00:00,95716,24,,4.0,95.0,,2.32414997,2.35175429,,,"['24', '24', '24', '24']",1.187716815021193
Ohio,Meigs,39105,2018,2018-07-02 00:00:00,91742,143 / 124,,2.0,122.0,,3.4077988500000003,3.35805,,,"['143', '124', '124']",-1.459852890084762
Ohio,Monroe,39111,2018,2018-06-28 00:00:00,84539,145 / 26,,2.0,140.0,,1.84041455,1.91933762,,,"['145', '26', '145', '26']",4.288331126267182
Ohio,Montgomery,39113,2018,2018-06-28 00:00:00,97667,725,,4.0,125.0,,1.118318,1.04178291,,,['725'],-6.843768051663295
Ohio,Morgan,39115,2018,2018-06-28 00:00:00,96644,266,,2.0,126.0,,3.18515215,3.14327787,,,"['266', '266']",-1.3146712630352695
Ohio,Richland,39139,2018,2018-06-28 00:00:00,87721,71,,4.0,429.0,,8.5666362,8.32390471,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71']",-2.8334515944542953
Ohio,Trumbull,39155,2018,2018-06-28 00:00:00,94114,534,,2.0,94.0,,1.11904046,1.08906786,,,"['534', '534', '534', '534', '534', '534', '534']",-2.6784196882389573
Ohio,Champaign,39021,2018,2018-07-19 00:00:00,100922,235 / 29,,2.0,88.0,,0.7307800999999999,0.79868421,,,"['29', '235']",9.292003162100347
Ohio,Hancock,39063,2018,2018-07-19 00:00:00,93678,330 / 568,,2.0,104.0,,1.92482905,1.93946931,,,"['568', '568', '330']",0.760600532291424
Ohio,Hocking,39073,2018,2018-07-19 00:00:00,96642,180 / 374,,2.0,105.0,,1.8929999,1.96659268,,,"['180', '374', '374']",3.8876272523839024
Ohio,Richland,39139,2018,2018-07-19 00:00:00,102954,598 / 39 / 13 / 103,,2.0,345.0,,3.22366259,3.22592073,,,"['598', '103', '13', '598', '39', '13', '13', '13', '598', '39', '13']",0.07004889429200184
Ohio,District 7,39021,2018,2018-07-19 00:00:00,105326,55,,2.0,88.0,,0.75498775,0.78131273,,,"['55', '55']",3.4868088919323594
Ohio,Monroe,39111,2018,2018-07-19 00:00:00,102562,78,,2.0,105.0,,2.258868,2.35257376,,,"['78', '78']",4.1483504126845725
Ohio,Shelby,39149,2018,2018-07-19 00:00:00,88700,705,,2.0,88.0,,1.5225,1.51743782,,,['705'],-0.3324912972085331
Ohio,Stark,39151,2018,2018-07-19 00:00:00,98392,173 / 41 / 44 / 62 / 153,,2.0,377.0,,2.95937706,2.71783966,,,"['173', '173', '41', '44', '62', '173', '173', '173', '153', '44', '173']",-8.161764962792537
Ohio,Washington,39167,2018,2018-07-19 00:00:00,101181,32 / 339,,2.0,103.0,,1.11198199,1.0672171799999999,,,"['32', '339']",-4.0256776101203045
Ohio,Logan,39091,2018,2018-07-19 00:00:00,105327,274,,2.0,74.0,,0.6657746999999999,0.71167183,,,['274'],6.893793050411809
Ohio,Warren,39165,2018,2018-08-02 00:00:00,106242,71,,4.0,393.0,,16.07098501,15.99476412,,,"['71', '71', '71']",-0.47427640528924786
Ohio,Champaign,39021,2018,2018-08-02 00:00:00,99982,54,,2.0,90.0,,0.23103354999999998,0.24896266,,,['54'],7.760392375912514
Ohio,Cuyahoga,39035,2018,2018-08-02 00:00:00,100254,14580 / 14711,,4.0,332.0,,1.41030201,1.40602454,,,"['14580', '14711']",-0.30330170202339257
Ohio,Holmes,39075,2018,2018-08-02 00:00:00,96794,62,,2.0,424.0,,2.59599301,2.62626098,,,['62'],1.1659495955268442
Ohio,Jackson,39079,2018,2018-08-02 00:00:00,100491,93,,2.0,78.0,,0.5537627900000001,0.65958799,,,"['93', '93']",19.110204208556507
Ohio,Ross,39141,2018,2018-08-02 00:00:00,97315,167,,2.0,302.0,,1.33069624,1.22955267,,,['167'],-7.600800765770561
Ohio,Belmont,39013,2018,2018-08-15 00:00:00,102475,149 / 331,,2.0,442.0,,2.59520919,2.6212832400000003,,,"['149', '331', '331', '331', '331']",1.0046993552762702
Ohio,Morgan,39115,2018,2018-08-15 00:00:00,96647,530 / 83,,2.0,319.0,,3.2299987999999997,3.2964732900000002,,,"['83', '83', '530']",2.0580345107249114
Ohio,Lorain,39093,2018,2018-08-30 00:00:00,87698,20 / 511,,2.0,350.0,,6.96889189,7.04851838,,,"['20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '511']",1.1425990136862332
Ohio,Williams,39171,2018,2018-09-04 00:00:00,92373,191,,2.0,392.0,,3.13358894,3.3150810699999997,,,"['191', '191', '191', '191', '191', '191']",5.791829543539289
Ohio,Erie,39043,2018,2018-08-30 00:00:00,98466,6,,2.0,337.0,,0.6768407,0.63336321,,,['6'],-6.4235927301653115
Ohio,Medina,39103,2018,2018-08-30 00:00:00,98250,539 / 42 / 224,,2.0,366.0,,3.36168835,3.2741413500000003,,,"['224', '42', '42', '539', '42']",-2.6042568758641713
Ohio,Perry,39127,2018,2018-08-30 00:00:00,93003,13,,2.0,411.0,,3.42815855,3.4303087999999997,,,['13'],0.06272317830806534
Ohio,Scioto,39145,2018,2018-08-30 00:00:00,100869,52,,2.0,304.0,,0.8695733,0.9738022199999999,,,"['52', '52', '52', '52', '52']",11.986214388137256
Ohio,Williams,39171,2018,2018-08-30 00:00:00,102821,127,,2.0,305.0,,2.00787645,2.30571119,,,"['127', '127', '127', '127']",14.833320048153356
Ohio,District 8,39165,2018,2018-09-20 00:00:00,94201,42 / 744 / 732 / 68 / 741 / 725 / 133 / 132,,2.0,376.0,,6.69538781,6.551251,,,"['741', '133', '732', '132', '744', '741', '132', '132', '68', '133', '725', '132', '42', '133', '68']",-2.152777614833935
Ohio,Lawrence,39087,2018,2018-09-20 00:00:00,102159,93,,2.0,94.0,,0.4722886,0.47639172999999996,,,['93'],0.8687759984043558
Ohio,Licking,39089,2018,2018-09-20 00:00:00,95455,40,,2.0,390.0,,2.54486184,2.6798262599999996,,,['40'],5.303408533957968
Ohio,Ross,39141,2018,2018-09-20 00:00:00,100488,35,,4.0,317.0,,3.06846076,3.29368605,,,"['35', '35', '35', '35', '35', '35', '35', '35']",7.340008806239387
Ohio,Highland,39071,2018,2018-10-12 00:00:00,95563,50,,2.0,252.0,,1.30530937,0.94672106,,,['50'],-27.471518878317713
Ohio,Adams,39001,2018,2018-10-04 00:00:00,91998,781 / 247,,2.0,331.0,,1.4006941499999999,1.38063395,,,"['781', '781', '781', '781', '247']",-1.4321613322936961
Ohio,Columbiana,39029,2018,2018-10-04 00:00:00,100607,518,,2.0,376.0,,0.9234046,0.90295589,,,"['518', '518']",-2.2144908093375357
