state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num
Ohio,Lorain,39093,2018,2018-05-10 00:00:00,92888,10 / 47076 / 83,,4.0,113.0,0.585,0.4941751,0.45972212,6.0,,"['83', '10', '10', '10', '47076']",-6.971816265125453,180291
Ohio,Marion,39101,2018,2018-05-10 00:00:00,91516,95,,4.0,174.0,1.284,1.16629501,1.46880831,2.0,,"['95', '95', '95']",25.937974303774137,180292
Ohio,Ross,39141,2018,2018-05-10 00:00:00,100487,159 / 35,,4.0,82.0,0.906,1.02743115,1.15946315,3.0,,"['159', '35', '35', '159']",12.850690773780796,180294
Ohio,Scioto,39145,2018,2018-05-10 00:00:00,97680,23,,4.0,174.0,1.813,1.89488854,1.97804211,2.0,,['23'],4.388309298656696,180295
Ohio,Tuscarawas,39157,2018,2018-05-10 00:00:00,100630,36,,2.0,189.0,2.26,2.2242144,2.29698427,2.0,,"['36', '36', '36', '36']",3.2717111264094023,180298
Ohio,Williams,39171,2018,2018-05-11 00:00:00,102827,191 / 6,,2.0,174.0,5.52,6.42567581,6.74256119,1.0,,"['6', '191', '6', '6', '6']",4.931549448959836,180302
Ohio,Madison,39097,2018,2018-05-24 00:00:00,25596,71,,4.0,402.0,15.284,14.69499032,15.95796852,4.0,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71']",8.594617434222299,180246
Ohio,Allen,39003,2018,2018-05-24 00:00:00,95503,128,,2.0,159.0,0.622,0.7944315,0.8184171,2.0,,['128'],3.0192156277791167,180312
Ohio,Guernsey,39059,2018,2018-05-24 00:00:00,83107,285 / 313 / 40,,2.0,479.0,4.939,4.9580535,5.08295287,2.0,,"['285', '313', '313', '40', '285', '313', '313', '285', '313']",2.519121062328182,180318
Ohio,Hamilton,39061,2018,2018-05-24 00:00:00,84481,275 / 127,,4.0,161.0,3.042,3.28425533,3.12960365,2.0,,"['275', '127', '127', '127']",-4.708881145364547,180319
Ohio,Miami,39109,2018,2018-05-24 00:00:00,100942,571 / 48,,2.0,99.0,0.809,0.79147,0.8110010200000001,2.0,,"['571', '48']",2.467689236484019,180325
Ohio,Paulding,39125,2018,2018-05-24 00:00:00,105522,111,,2.0,99.0,0.943,0.9578592,1.04751014,2.0,,['111'],9.359511293517889,180326
